,A,B,brx_2019,con_2019,constituency,county,grn_2019,lab_2019,ld_2019,majority_2019,other_2019,pc_2019,region,result_2017,result_2019,total_2019,turnout_2019,winner_maj_2019,winner_share_2019,winner_votes_2019
130,,,,37055,Daventry,NTH,2341,10975,7032,,,,EM,Con,Con,57403,74.0%,26080,64.6%,37055
337,,,2012,14018,Nottingham South,NTT,1583,26586,3935,,,,EM,Lab,Lab,48134,60.6%,12568,55.2%,26586
493,,,,37043,Wealden,SXE,3099,9377,11388,,,,SE,Con,Con,60907,73.3%,25655,60.8%,37043
303,,,4331,15589,Newcastle upon Tyne North,TWR,1368,21534,4357,,,,NE,Lab,Lab,46999,68.6%,5765,45.4%,21534
64,,,,36308,Brentwood and Ongar,ESS,1671,7243,7187,,532,,E,Con,Con,52941,70.4%,29065,68.6%,36308
